,country,id,lat,lng,name,clouds,date,humidity,pressure,temp,temp_max,temp_min,wind_deg,wind_speed
0,RU,2017370,60.0,100.0,Russian Federation,80,2017-11-19 03:00:00,84,991.81,-16.43,-16.43,-16.43,144.001,2.42
1,IN,1257986,34.049999,77.416664,Rumbak,36,2017-11-19 03:00:00,71,605.31,-18.98,-18.98,-18.98,176.501,0.37
2,AR,3858204,-24.1,-62.47662,El Destierro,12,2017-11-19 03:00:00,34,1005.99,19.9,19.9,19.9,120.001,4.32
3,CM,2224928,2.91667,13.5,Néméyong II,92,2017-11-19 03:00:00,99,953.87,19.82,19.82,19.82,242.001,1.12
4,FR,3017680,44.913849,6.6239,Forville,0,2017-11-19 03:00:00,52,796.29,-18.1,-18.1,-18.11,317.001,0.72
5,BO,3901501,-22.08659,-65.594223,Villazon,20,2017-11-19 03:00:00,72,655.65,-0.63,-0.63,-0.63,185.501,0.87
6,CD,204283,3.03716,29.535509,Watsa,44,2017-11-19 03:00:00,94,924.37,17.2,17.2,17.2,152.001,1.37
7,CD,210379,-4.96667,23.450001,Lusambo,24,2017-11-19 03:00:00,98,961.65,21.47,21.47,21.47,257.501,0.97
8,CD,215527,-6.13333,24.48333,Kabinda,20,2017-11-19 03:00:00,93,938.23,20.22,20.22,20.22,266.001,3.12
9,CD,2312249,-3.01667,16.9,Mushie,68,2017-11-19 03:00:00,100,988.81,21.62,21.62,21.62,292.001,1.17
10,DZ,2498775,32.893002,0.54839,El Abiodh Sidi Cheikh,0,2017-11-19 03:00:00,77,913.91,0.82,0.82,0.82,37.5011,1.67
11,GN,2416443,11.08333,-12.4,Pita,8,2017-11-19 03:00:00,77,955.33,18.47,18.47,18.47,67.5011,1.07
12,ID,1213547,2.96667,99.800003,Tanjungbalai,24,2017-11-19 03:00:00,86,1019.94,28.95,28.95,28.95,273.001,0.97
13,US,5423573,39.063869,-108.550652,Grand Junction,0,2017-11-19 03:00:00,82,828.31,-3.53,-3.53,-5.48,59.5011,1.12
14,UZ,1514215,40.93639,68.769722,Chinoz,92,2017-11-19 03:00:00,100,1009.56,3.35,3.35,2.42,204.001,0.77
15,VE,8131449,11.08307,-63.964119,Municipio Marcano,8,2017-11-19 03:00:00,90,1020.34,28.15,28.15,28.15,83.5011,7.07
16,BJ,2395261,9.00814,1.6654,Bassila,8,2017-11-19 03:00:00,82,985.89,23.17,23.17,23.17,219.501,3.02
17,DZ,2492345,36.929169,6.58556,Kerkera,100,2017-11-19 03:00:00,100,1028.53,12.65,17.17,12.65,307.501,7.62
18,IN,1256382,23.91667,72.383331,Siddhapur,0,2017-11-19 03:00:00,72,1008.26,19.07,19.07,19.07,60.5011,4.57
19,IN,1260129,23.9,79.199997,Patharia,64,2017-11-19 03:00:00,63,981.92,19.95,19.95,19.95,347.001,3.87
20,KP,1875632,38.855831,127.41806,Kosan,0,2017-11-19 03:00:00,31,972.35,-3.95,-3.95,-3.96,285.001,3.22
21,KZ,609123,46.953072,54.019779,Qulsary,24,2017-11-19 03:00:00,88,1047.09,-2.93,-2.93,-2.93,131.001,5.67
22,LY,2208655,32.94701,11.86647,Zaltan,8,2017-11-19 03:00:00,100,1031.12,13.77,13.77,13.77,260.501,4.52
23,PG,2089470,-6.0,155.0,Bougainville,36,2017-11-19 03:00:00,100,990.59,27.05,27.05,27.05,302.501,2.42
24,RU,498817,59.894444,30.264168,Saint Petersburg,76,2017-11-19 03:00:00,100,1012.07,1.59,2.12,1.59,184.501,5.27
25,DZ,2508813,27.87429,-0.29388,Adrar,36,2017-11-19 03:00:00,73,995.21,6.45,6.45,6.02,39.0011,1.87
26,NZ,2181108,-43.916672,171.716675,Tinwald,0,2017-11-19 03:00:00,63,998.05,18.45,18.45,18.45,141.501,3.32
27,ZA,1008612,-29.055309,23.7743,Douglas,0,2017-11-19 03:00:00,60,900.53,7.7,7.7,7.7,354.501,1.32
28,BY,626064,55.02486,30.795561,Lyozna,80,2017-11-19 03:00:00,98,997.56,0.2,0.2,0.2,194.001,2.87
29,ID,2056999,-10.15,123.650002,Oesapa,80,2017-11-19 03:00:00,96,1011.59,30.9,30.9,28.9,303.501,1.42
30,RU,569339,51.885502,37.264599,Cheremisinovo,92,2017-11-19 03:00:00,95,999.83,-0.93,-0.93,-0.93,151.501,3.02
31,UA,703883,45.0,34.0,Avtonomna Respublika Krym,20,2017-11-19 03:00:00,83,988.65,1.27,1.27,1.27,271.001,0.52
32,UZ,601417,43.068741,58.903721,Oltinkol,0,2017-11-19 03:00:00,89,1039.07,-3.58,-3.58,-3.58,104.001,4.57
33,UZ,1216115,37.999439,67.787498,Shorchi,0,2017-11-19 03:00:00,81,969.44,0.4,0.4,0.4,47.5011,1.67
34,UZ,1512348,40.025391,65.960953,Yangirabot,0,2017-11-19 03:00:00,77,963.19,-4.95,-4.95,-4.96,61.0011,2.22
35,ZM,913613,-12.09514,26.427271,Kansanshi,0,2017-11-19 03:00:00,95,871.03,16.32,16.32,16.32,113.001,2.97
36,UA,709584,52.042778,33.945278,Druzhba,92,2017-11-19 03:00:00,96,1000.81,0.42,0.42,0.42,176.501,4.42
37,BR,3469034,-10.0,-55.0,Federative Republic of Brazil,20,2017-11-19 03:00:00,94,994.73,23.05,23.05,23.05,120.001,0.97
